Name,Symbol,Industry Group,Industry,Current Price
20 Microns,20MICRONS,Minerals & Mining,Industrial Minerals,222.49
21st Cent. Mgmt.,21STCENMGM,Capital Markets,Other Capital Market related Services,38.13
360 ONE,360ONE,Capital Markets,Stockbroking & Allied,1137
3B Blackbio,3BBLACKBIO,Healthcare Services,Healthcare Service Provider,1460.1
3i Infotech,3IINFOLTD,IT - Software,Computers - Software & Consulting,22.37
3M India,3MINDIA,Diversified,Diversified,32845
3P Land Hold.,3PLAND,Finance,Investment Company,32.39
5paisa Capital,5PAISA,Capital Markets,Stockbroking & Allied,342.1
63 Moons Tech.,63MOONS,IT - Software,Computers - Software & Consulting,876.5
A B B,ABB,Electrical Equipment,Heavy Electrical Equipment,7410
A B Infrabuild,ABINFRA,Construction,Civil Construction,11.35
A B Lifestyle,ABLBL,Retailing,Speciality Retail,86.07
A B M Internatl.,ABMINTLLTD,Commercial Services & Supplies,Trading & Distributors,55.86
A B Real Estate,ABREL,Realty,"Residential, Commercial Projects",1373.6
A C J K Exports,AEROPLANE,Agricultural Food & other Products,Other Agricultural Products,194.29
A G Universal,AGUL,Industrial Products,Iron & Steel Products,45.9
A.K.Capital Serv,AKCAPIT,Finance,Non Banking Financial Company (NBFC),1736.9
A2Z Infra Engg.,A2ZINFRA,Construction,Civil Construction,15.61
AAA Technologies,AAATECH,Commercial Services & Supplies,Consulting Services,91.74
Aadhar Hsg. Fin.,AADHARHFC,Finance,Housing Finance Company,483.55
Aakaar Medical,AAKAAR,Personal Products,Personal Care,62.7
Aakash Explor.,AAKASH,Oil,Offshore Support Solution Drilling,8.75
Aaradhya Dis.,AARADHYA,"Paper, Forest & Jute Products",Paper & Paper Products,110.8
Aarey Drugs,AAREYDRUGS,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.79
Aarnav Fashions,AARNAV,Textiles & Apparels,Trading - Textile Products,32.17
Aaron Industries,AARON,Industrial Manufacturing,Industrial Products,128.45
Aartech Solonics,AARTECH,Electrical Equipment,Heavy Electrical Equipment,48.64
Aarti Drugs,AARTIDRUGS,Pharmaceuticals & Biotechnology,Pharmaceuticals,431.65
Aarti Industries,AARTIIND,Chemicals & Petrochemicals,Specialty Chemicals,492.05
Aarti Pharma,AARTIPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,858.8
Aarti Surfactant,AARTISURF,Chemicals & Petrochemicals,Specialty Chemicals,548.5
Aarvi Encon,AARVI,Commercial Services & Supplies,Diversified Commercial Services,141.92
Aastha Spintex,AASTHA,Textiles & Apparels,Other Textile Products,78.12
Aatmaj Health,AATMAJ,Healthcare Services,Hospital,18.25
AAVAS Financiers,AAVAS,Finance,Housing Finance Company,1304.2
AB Cotspin,ABCOTS,Textiles & Apparels,Other Textile Products,208.15
Aban Offshore,ABAN,Oil,Offshore Support Solution Drilling,14.99
ABans Enterprise,ABANSENT,Metals & Minerals Trading,Trading - Metals,27.86
Abans Financial,AFSL,Finance,Holding Company,202.07
Abbott India,ABBOTINDIA,Pharmaceuticals & Biotechnology,Pharmaceuticals,26065
ABH Healthcare,ABH,Healthcare Services,Hospital,80.7
Abha Power,ABHAPOWER,Industrial Products,Castings & Forgings,24.6
Abhishek Integr.,AILIMITED,Construction,Civil Construction,22.25
ABM Knowledge,ABMKNO,IT - Software,Software Products,189.9
ABS Marine,ABSMARINE,Transport Services,Shipping,337.9
ACC,ACC,Cement & Cement Products,Cement & Cement Products,1283.8
Accelya Solution,ACCELYA,IT - Software,Computers - Software & Consulting,1131
Accent Microcell,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals,617.8
Accord Synergy,ACCORD,Telecom - Services,Other Telecom Services,188.45
Accretion Pha.,ACCPL,Pharmaceuticals & Biotechnology,Pharmaceuticals,200
Accuracy Shippi.,ACCURACY,Transport Services,Logistics Solution Provider,4.31
Ace Integrated,ACEINTEG,Commercial Services & Supplies,Diversified Commercial Services,17.83
Acetech E-Commerce,ACETEC,Retailing,E-Retail/ E-Commerce,139
ACME Solar Hold.,ACMESOLAR,Power,Power Generation,418
ACS Tech,ACSTECH,IT - Services,IT Enabled Services,51.83
Action Const.Eq.,ACE,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1125.4
Active Infra.,ACTIVEINFR,Realty,"Residential, Commercial Projects",172.5
Acutaas Chemical,ACUTAAS,Pharmaceuticals & Biotechnology,Pharmaceuticals,3168.5
Adani Energy Sol,ADANIENSOL,Power,Power Distribution,1409.6
Adani Enterp.,ADANIENT,Metals & Minerals Trading,Trading - Minerals,2938
Adani Green,ADANIGREEN,Power,Power Generation,1301.3
Adani Ports,ADANIPORTS,Transport Infrastructure,Port & Port services,1707.3
Adani Power,ADANIPOWER,Power,Integrated Power Utilities,207.2
Adani Total Gas,ATGL,Gas,LPG/CNG/PNG/LNG Supplier,612.35
Addi Industries,ADDIND,Textiles & Apparels,Garments & Apparels,79.34
Addictive Learn,ADDICTIVE,Other Consumer Services,E-Learning,43.3
ADF Foods,ADFFOODS,Food Products,Packaged Foods,264.8
Adisoft Technol.,ADISOFT,Industrial Manufacturing,Industrial Products,206.25
Adit.Birla Money,BIRLAMONEY,Capital Markets,Stockbroking & Allied,126.37
