Name,Symbols,ISIN Code,Industry Group,Industry
Diksha Greens,542155,INE01GR01018,Commercial Services & Supplies,Trading & Distributors
Omnipotent,543400,INE0JFE01012,Petroleum Products,Refineries & Marketing
JLA Infraville,538765,INE401Q01018,Retailing,Internet & Catalogue Retail
Mafia Trends,543613,INE0KQQ01011,Retailing,Speciality Retail
Jalan Transol.,JALAN,INE349X01015,Transport Services,Logistics Solution Provider
SSPN FINANCE,539026,INE820R01017,Finance,Other Financial Services
GCM Commodity,535917,INE200P01016,Finance,Other Financial Services
Athena Construc.,539099,INE291R01011,Realty,"Residential, Commercial Projects"
Unishire Urban,537582,INE210P01015,Realty,"Residential, Commercial Projects"
Silver Pearl,543536,INE0KXN01014,Leisure Services,Hotels & Resorts
Polymac Thermof.,537573,INE826P01018,Industrial Products,Plastic Products - Industrial
Hanman Fit,538731,INE982Q01017,Leisure Services,Amusement Parks/ Other Recreation
SBL Infratech,543366,INE0DLM01024,Realty,"Residential, Commercial Projects"
Gconnect Logitec,544156,INE0QHY01011,Transport Services,Logistics Solution Provider
Perfect Infraeng,PERFECT,INE925S01012,Electrical Equipment,Other Electrical Equipment
Finelistings Tec,544173,INE0QOQ01013,Retailing,E-Retail/ E-Commerce
Evoq Remedies,543500,INE0JVD01011,Commercial Services & Supplies,Trading & Distributors
Patron Exim,543798,INE0NPA01011,Chemicals & Petrochemicals,Trading - Chemicals
Naturo Indiabull,543579,INE0JNB01012,Personal Products,Personal Care
Sun Retail,542025,INE206Z01020,Commercial Services & Supplies,Trading & Distributors
Sailani Tours N,543541,INE0KHQ01010,Leisure Services,"Tour, Travel Related Services"
Jointeca Educati,534659,INE131N01018,IT - Software,Computers - Software & Consulting
Dr Lalchand. Lab,541299,INE871Z01013,Healthcare Services,Healthcare Service Provider
GCM Capital,538319,INE191P01017,Finance,Other Financial Services
Amanaya Ventures,543804,INE0G1V01016,Non - Ferrous Metals,Precious Metals
Veerkrupa Jewel,543545,INE0ID001024,Consumer Durables,"Gems, Jewellery And Watches"
Winny Immigratio,WINNY,INE0S9101013,Leisure Services,"Tour, Travel Related Services"
Magenta Life,544188,INE0QZ901011,Consumer Durables,"Furniture, Home Furnishing"
Sahara Maritime,544056,INE0PSJ01011,Transport Services,Logistics Solution Provider
Reetech Intl,543617,INE0MKO01015,Consumable Fuels,Trading - Coal
Sirohia & Sons,538667,INE785O01019,Commercial Services & Supplies,Trading & Distributors
Solve Plastic,BALCO,INE0U0201016,Industrial Products,Plastic Products - Industrial
Billwin Indust.,543209,INE0CRS01012,Diversified,Diversified
Rite Zone,RITEZONE,INE0MRA01019,Chemicals & Petrochemicals,Specialty Chemicals
Picturepost Stu.,PPSL,INE0YAL01017,Entertainment,"Film Production, Distribution & Exhibition"
Western Overseas,544636,INE1MF401019,Leisure Services,"Tour, Travel Related Services"
Plada Infotech S,PLADAINFO,INE0PXD01014,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Indifra Ltd,INDIFRA,INE0PS301014,Gas,Gas Transmission/Marketing
Kenrik Indust.,544398,INE0AOG01018,Consumer Durables,"Gems, Jewellery And Watches"
Chothani Foods,540681,INE344X01016,Food Products,Packaged Foods
AFLOAT Enterpris,543377,INE0CWK01019,Industrial Products,Iron & Steel Products
Jet Solar,538794,INE155R01018,Realty,"Residential, Commercial Projects"
Clinitech Lab,544220,INE0QMR01015,Healthcare Services,Healthcare Service Provider
3C IT Solutions,544190,INE0R7D01018,IT - Services,IT Enabled Services
Veritaas Adver.,VERITAAS,INE0SRI01019,Media,Advertising & Media Agencies
Quality RO Indu.,543460,INE0KAF01018,Industrial Manufacturing,Industrial Products
Sh. Krish. Infr.,542146,INE951Z01013,Realty,"Residential, Commercial Projects"
Humming Bird Edu,542592,INE02PC01027,Other Consumer Services,Education
Ishan Internat.,ISHAN,INE0LCW01025,Industrial Manufacturing,Industrial Products
Ekennis Software,543475,INE0KCM01010,IT - Services,IT Enabled Services
Euphoria Infotec,544094,INE0PYT01018,IT - Services,IT Enabled Services
Swasth Foodtech,544368,INE0TIR01017,Agricultural Food & other Products,Other Agricultural Products
Dhanuka Infra Realty,DIRL,INE704V01015,Realty,"Residential, Commercial Projects"
Dolphin Kitchen Utensils,544170,INE0QXT01018,Consumer Durables,Household Appliances
Dhyaani Trade,543516,INE0K5F01014,Commercial Services & Supplies,Trading & Distributors
Shanti Guru Inds,534708,INE892L01019,Retailing,Diversified Retail
Ghushine Fintrra,539864,INE009U01011,Textiles & Apparels,Other Textile Products
Docmode Health,DHTL,INE0OGG01015,Other Consumer Services,E-Learning
Goblin India,542850,INE492Z01018,Consumer Durables,"Gems, Jewellery And Watches"
Broach Lifecare,544231,INE0SFZ01018,Healthcare Services,Hospital
Resourceful Auto,544236,INE0SK201011,Automobiles,Auto Dealer
Tarini Internat.,538496,INE849M01017,Commercial Services & Supplies,Consulting Services
Neopolitan Pizza,544269,INE471R01019,Agricultural Food & other Products,Other Agricultural Products
Jonjua Overseas,542446,INE793Z01027,Commercial Services & Supplies,Consulting Services
Saroja Pharma In,SAROJA,INE0PCL01011,Chemicals & Petrochemicals,Specialty Chemicals
Mish Designs,544015,INE0QI101019,Textiles & Apparels,Garments & Apparels
Citichem India,544324,INE0A8401016,Chemicals & Petrochemicals,Trading - Chemicals
Parampara Dairy,PARAMPARA,INE749Y01014,Industrial Products,Packaging
Shanthala FMCG,SHANTHALA,INE0Q9Q01017,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Dhillon Freight,544556,INE0SPJ01011,Transport Services,Logistics Solution Provider
Net Avenue,CBAZAAR,INE518X01015,Retailing,E-Retail/ E-Commerce
Maks Energy,MAKS,INE0CDK01019,Industrial Products,"Compressors, Pumps & Diesel Engines"
Kaarya Facilit.,540756,INE282Y01016,Commercial Services & Supplies,Diversified Commercial Services
Quadpro ITeS,QUADPRO,INE0GOJ01027,IT - Services,IT Enabled Services
Jiwanram Sheo,JIWANRAM,INE0N5H01017,Industrial Products,Other Industrial Products
Inspire Films,INSPIRE,INE0NDX01019,Entertainment,Media & Entertainment
Sanghvi Brands,540782,INE204Y01010,Leisure Services,Hotels & Resorts
Sabar Flex India,SABAR,INE0DZ101013,Industrial Products,Packaging
SVS Ventures,543745,INE0MID01012,Realty,"Residential, Commercial Projects"
Diggi Multitrade,540811,INE158R01012,Commercial Services & Supplies,Trading & Distributors
Scarnose Inter.,543537,INE0IXR01019,Textiles & Apparels,Other Textile Products
Innokaiz India,543905,INE0LDI01022,Media,Advertising & Media Agencies
Zinema Media,538579,INE641Q01019,Commercial Services & Supplies,Trading & Distributors
DAPS Advertising,543651,INE975Z01012,Media,Advertising & Media Agencies
Amiable Logistic,AMIABLE,INE0MTP01013,Transport Services,Logistics Solution Provider
