symbol,total_market_cap_cr,price_band,last_updated
360ONE.NS,44497.4,No Band,2026-09-11
3BBLACKBIO.NS,,20,2026-09-11
3PLAND.NS,,20,2026-09-11
ABINFRA.NS,651.57,5,2026-09-11
ABLBL.NS,11394.52,20,2026-09-11
AGUL.NS,34.49,5,2026-09-11
AKCAPIT.NS,,20,2026-09-11
A2ZINFRA.NS,222.97,5,2026-09-11
AAATECH.NS,116.19,20,2026-09-11
AAKASH.NS,92.04,20,2026-09-11
AAREYDRUGS.NS,215.44,5,2026-09-11
AARNAV.NS,,5,2026-09-11
AARON.NS,246.08,20,2026-09-11
AARTIPHARM.NS,6100.03,20,2026-09-11
AATMAJ.NS,60.45,20,2026-09-11
ABCOTS.NS,448.39,20,2026-09-11
ABAN.NS,87.37,2,2026-09-11
ABANSENT.NS,,5,2026-09-11
ABMKNO.NS,,20,2026-09-11
ABSMARINE.NS,807.7,20,2026-09-11
ACCURACY.NS,75.43,5,2026-09-11
ACEINTEG.NS,19.54,20,2026-09-11
ACSTECH.NS,,5,2026-09-11
ADANIGREEN.NS,242513.75,No Band,2026-09-11
ADANIPOWER.NS,418381.45,No Band,2026-09-11
ATGL.NS,74963.05,20,2026-09-11
BIRLAMONEY.NS,761.8,20,2026-09-11
ABSLAMC.NS,29010.26,20,2026-09-11
ABFRL.NS,6941.71,20,2026-09-11
CPPLUS.NS,40614.81,5,2026-09-11
ADVAIT.NS,2511.3,20,2026-09-11
ADVANCE.NS,718.52,20,2026-09-11
ADVENZYMES.NS,3505.41,20,2026-09-11
ADVANIHOTR.NS,482.25,20,2026-09-11
ADVENTHTL.NS,777.37,20,2026-09-11
AEQUS.NS,15241.08,20,2026-09-11
AEROFLEX.NS,5387.19,10,2026-09-11
AERONEU.NS,221.77,20,2026-09-11
AFCONS.NS,10663.92,20,2026-09-11
AGARIND.NS,719.1,20,2026-09-11
AGIIL.NS,4035.54,20,2026-09-11
AGNI.NS,101.19,5,2026-09-11
AGRITECH.NS,65.54,5,2026-09-11
AGROPHOS.NS,59.73,20,2026-09-11
AGSTRA.NS,28.31,5,2026-09-11
AHLADA.NS,49.2,20,2026-09-11
AHLUCONT.NS,5512.74,20,2026-09-11
AIRAN.NS,190.28,20,2026-09-11
AJMERA.NS,2446.17,20,2026-09-11
AKASH.NS,45.44,20,2026-09-11
AKG.NS,29.9,20,2026-09-11
AKI.NS,46.44,5,2026-09-11
AFIL.NS,413.8,20,2026-09-11
AKSHOPTFBR.NS,93.88,5,2026-09-11
AKSHAR.NS,33.07,20,2026-09-11
ALANKIT.NS,215.03,20,2026-09-11
ALBERTDAVD.NS,392.37,20,2026-09-11
ALEMBICLTD.NS,2274.83,20,2026-09-11
ALGOQUANT.NS,1878.28,20,2026-09-11
ALICON.NS,1058.38,20,2026-09-11
ALKALI.NS,79.76,20,2026-09-11
ALLETEC.NS,695.18,10,2026-09-11
ALLTIME.NS,1516.05,20,2026-09-11
ALLCARGO.NS,1205.71,10,2026-09-11
ATL.NS,677.99,20,2026-09-11
ADSL.NS,661.9,20,2026-09-11
ALMONDZ.NS,227.37,20,2026-09-11
ALOKINDS.NS,5978.15,10,2026-09-11
ALPA.NS,140.17,20,2026-09-11
ALPEXSOLAR.NS,2053.2,20,2026-09-11
ALPHAGEO.NS,126.18,5,2026-09-11
ALUWIND.NS,156.29,20,2026-09-11
AMAGI.NS,13236.7,20,2026-09-11
AMANTA.NS,648.45,2,2026-09-11
AMBALALSA.NS,238.02,5,2026-09-11
AMBER.NS,26376.76,No Band,2026-09-11
AMEYA.NS,90.86,5,2026-09-11
AMIABLE.NS,13.46,20,2026-09-11
AMNPLST.NS,1068.6,20,2026-09-11
AMJLAND.NS,151.66,20,2026-09-11
AMRUTANJAN.NS,1529.1,20,2026-09-11
ARSSBL.NS,3264.32,20,2026-09-11
ACL.NS,448.88,20,2026-09-11
ANDHRAPAP.NS,1200.46,20,2026-09-11
ANDHRSUGAR.NS,1140.26,20,2026-09-11
