symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
543286.BO,2026-09-16,101.55000305175781,101.55000305175781,101.55000305175781,101.43060272216798,67.27966799418131,60.2314009475708,101.54919010848849,24.700000762939453,101.55000305175781,True,True,True,True,True,True,True,True,False,267.9347885804275,dry,0.0,False,False,True,False,Artemis ADR Marketplace,Food Products,Other Food Products,99.71910112359551,True,True,,,,,—
536737.BO,2026-09-16,66.30000305175781,59.30166753133138,65.16888862186008,61.063799667358396,37.87740023295085,33.41805040359497,61.01779631112804,20.040000915527344,82.08999633789062,True,True,True,True,True,True,True,True,False,230.83832346727795,green,138.88888888888889,False,False,False,False,Amrapali Capital,Finance,Non Banking Financial Company (NBFC),99.43820224719101,True,True,,,,,—
VILINBIO.NS,2026-09-16,60.0,55.045833587646484,46.60277769300673,45.81199996948242,42.543000030517575,38.05099999427795,56.25873821801834,18.950000762939453,60.95000076293945,True,True,True,True,True,True,True,True,False,155.8635311211777,noise,20.920502092050206,False,False,True,False,Vilin Bio Med,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.87640449438202,True,True,,,,,5
544000.BO,2026-09-16,43.220001220703125,40.77333354949951,35.088333447774254,32.936600074768066,24.497133382161458,22.732399940490723,41.000283621764616,15.680000305175781,43.220001220703125,True,True,True,True,True,True,True,True,False,122.783515827602,noise,83.33333333333334,False,False,True,False,City Crops Agro,Agricultural Food & other Products,Other Agricultural Products,98.03370786516854,True,True,,,,,—
541799.BO,2026-09-16,21.049999237060547,20.25,16.498888969421387,15.07400001525879,12.476399930318196,11.491149945259094,20.2264840450748,7.909999847412109,21.049999237060547,True,True,True,True,True,True,True,True,False,117.23426365956442,dry,0.0,False,False,True,False,Sungold Media,Media,Advertising & Media Agencies,97.47191011235955,True,True,,,,,—
543312.BO,2026-09-16,230.0,218.33333333333334,206.0,202.28,169.34,162.8,222.70194534610687,108.0999984741211,230.0,True,True,True,True,True,True,True,True,False,112.76596045009333,dry,0.0,False,False,True,False,Focus Business,IT - Software,Computers - Software & Consulting,96.62921348314607,True,True,,,,,—
SEL.NS,2026-09-16,365.0,328.7333348592122,293.8958341810438,278.2290008544922,215.03933349609375,213.95325027465822,338.88234498065447,115.25,369.0,True,True,True,True,True,True,True,True,False,58.69565217391304,noise,56.66486778197517,False,False,True,False,Sungarner Energ.,Electrical Equipment,Other Electrical Equipment,94.9438202247191,True,True,,,,,5
SABAR.NS,2026-09-16,9.5,9.25416668256124,7.701388888888889,6.901999998092651,5.924666649500529,5.760249977111816,9.236349393650718,3.950000047683716,9.5,True,True,True,True,True,True,True,True,False,46.153846153846146,dry,0.0,False,False,True,False,Sabar Flex India,Industrial Products,Packaging,94.10112359550563,True,True,,,,,2
543518.BO,2026-09-16,42.0,40.1366662979126,38.92361142900255,40.627000122070314,35.71760503133138,34.8928115940094,41.07364835665658,22.200000762939453,49.900001525878906,True,True,True,True,True,True,True,True,False,42.85144513522887,dry,0.0,False,False,False,False,Eighty Jewellers,Consumer Durables,"Gems, Jewellery And Watches",93.53932584269663,True,True,,,,,—
VELS.NS,2026-09-16,73.0,73.0,73.0,72.74799987792969,66.43699948628743,64.20874963760376,72.99968254061335,39.75,73.0,True,True,True,True,True,True,True,True,False,39.71291866028708,dry,0.0,False,False,True,False,Vels Film,Entertainment,"Film Production, Distribution & Exhibition",92.69662921348315,True,True,,,,,5
544139.BO,2026-09-16,50.5,49.57083320617676,45.115000089009605,41.979800109863284,38.71619993845622,37.942399892807,49.536479028039736,30.049999237060547,52.20000076293945,True,True,True,True,True,True,True,True,False,29.487179487179493,noise,50.0,False,False,False,False,Koura Fine Diamo,Consumer Durables,"Gems, Jewellery And Watches",91.01123595505618,True,True,,,,,—
VERA.NS,2026-09-16,86.25,86.25,83.24722226460774,79.39300048828125,72.5226670328776,71.86700065612793,86.15789451051528,65.55000305175781,86.25,True,True,True,True,True,True,True,True,False,26.83823529411764,dry,0.0,False,False,True,False,Vera Synthetic,Textiles & Apparels,Other Textile Products,90.1685393258427,True,True,,,,,5
544175.BO,2026-09-17,110.0,103.02499961853027,102.65027745564778,102.15419982910156,95.42606643676758,92.26209980010987,104.73627580474337,66.5,111.0,True,True,True,True,True,True,True,True,True,22.9050279329609,noise,40.98360655737705,False,False,True,False,TGIF Agribusines,Agricultural Food & other Products,Other Agricultural Products,88.76404494382022,True,True,,,,,—
539401.BO,2026-09-16,325.0,325.0,304.8500027126736,285.012001953125,274.39000040690104,271.2925003051758,324.25689051640325,209.0,325.0,True,True,True,True,True,True,True,True,False,22.180451127819545,dry,0.0,False,False,True,False,Patdiam Jeweller,Consumer Durables,"Gems, Jewellery And Watches",88.20224719101124,True,True,,,,,—
543651.BO,2026-09-16,24.489999771118164,24.323333104451496,24.261178970336914,24.088765602111817,21.52262730280558,21.244841856956484,24.39262073028331,11.887398950420122,26.229481418459912,True,True,True,True,True,True,True,True,False,-2.588276297963743,dry,0.0,False,False,False,False,DAPS Advertising,Media,Advertising & Media Agencies,78.93258426966293,True,True,,,,,—
