symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
3IINFOLTD.NS,2026-09-16,25.020000457763672,22.77166684468587,24.019722355736626,22.67480007171631,18.31699998219808,17.719200015068054,23.320268839995276,12.680000305175781,27.799999237060547,True,True,True,True,True,True,True,True,False,1.7073173568335154,ppv,64.79685127884618,False,False,False,False,,IT - Software,Computers - Software & Consulting,66.0164271047228,False,False
3MINDIA.NS,2026-09-16,31935.0,32770.0,34240.13888888889,34495.088828125,33218.66841145833,33502.001845703126,32654.0669171161,28319.862583025053,37487.09942436396,False,False,False,True,False,False,True,False,False,4.609278517584814,ppv,666.3186943304675,False,False,False,False,,Diversified,Diversified,68.17248459958932,False,False
ABB.NS,2026-09-18,7270.5,7303.708333333333,7462.844048394098,7394.512578125,6851.876285807291,6422.329853515625,7252.459416269912,4564.870705303207,7832.294844565128,True,True,True,True,False,True,True,True,False,37.14169506211999,ppv,128.39655189405613,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,86.19096509240246,True,False
AARTIPHARM.NS,2026-09-18,820.4000244140625,836.4574381510416,810.4427897135416,777.6501586914062,714.5667757161458,723.5174609375,824.9555952196602,583.5851680913014,936.2409542546694,True,False,False,True,True,True,True,False,False,-10.264361427806069,ppv,257.6018456461669,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,53.4394250513347,False,False
ACMESOLAR.NS,2026-09-18,435.25,411.1708297729492,392.65277777777777,387.29399963378904,325.74339965820315,300.4224989318848,413.46629594125403,195.72747422084996,440.70001220703125,True,True,True,True,True,True,True,True,False,43.37127576791184,ppv,534.3338495069636,True,False,True,False,,Power,Power Generation,88.14168377823408,True,True
ACE.NS,2026-09-18,1229.199951171875,1144.0083109537761,1128.4666375054253,1096.9056079101563,962.990048421224,948.4695297241211,1159.725423432402,743.7339869667156,1241.5,True,True,True,True,True,True,True,True,False,7.541495607233273,ppv,162.94903171882765,False,False,True,False,,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,70.84188911704312,True,True
ACUTAAS.NS,2026-09-18,3440.300048828125,3294.6316935221353,3244.8631998697915,3308.01265625,2903.139471028646,2617.5348455810545,3325.361381729911,1301.0268289605388,3737.2044731885353,True,True,True,True,True,True,True,True,False,134.04985705595473,ppv,163.94720752536972,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,97.8952772073922,True,True
ADANIGREEN.NS,2026-09-18,1334.5,1291.4250081380208,1319.0833367241753,1365.1480029296874,1265.1320003255207,1190.6777499389648,1292.0305531640593,765.0,1631.5,True,True,True,True,False,True,True,True,False,36.2499344905741,ppv,131.12412464758484,False,False,False,False,,Power,Power Generation,85.72895277207392,True,False
ATGL.NS,2026-09-18,660.7000122070312,607.2000020345052,636.0791659884983,651.3459997558593,632.4308481852214,614.4212101745605,611.3786271588951,462.63840779150803,859.5498025483846,True,True,False,True,True,True,True,True,False,8.875833736906502,ppv,2150.6208865779977,True,False,False,False,,Gas,LPG/CNG/PNG/LNG Supplier,72.1252566735113,True,False
AEGISVOPAK.NS,2026-09-17,310.70001220703125,293.58333587646484,282.3405541314019,283.9555993652344,232.38381917317707,233.08110794067383,295.4368303224851,157.88530940558778,316.0,True,False,False,True,True,True,True,True,False,27.39201196814618,ppv,379.0782269330215,True,False,True,False,,Oil,Oil Storage & Transportation,82.8028747433265,True,False
AEROENTER.NS,2026-09-17,122.94000244140625,136.48916498819986,133.42039002312555,129.90901000976564,106.49091420491537,100.4256697845459,130.58088436819787,62.02029581540144,159.60000610351562,True,True,True,True,False,True,True,False,False,40.10933994330239,ppv,263.2511546486799,False,False,False,False,,Industrial Products,Iron & Steel Products,87.26899383983573,True,False
AHLADA.NS,2026-09-16,36.560001373291016,36.54500039418539,37.565833727518715,37.724800186157225,40.7645334370931,43.26130012512207,36.21710041777983,31.219999313354492,72.0,False,False,False,False,False,False,False,True,False,-34.97813887521638,ppv,266.89567219228064,False,False,False,False,,Consumer Durables,"Furniture, Home Furnishing",21.765913757700204,False,False
AIMTRON.NS,2026-09-17,1616.449951171875,1660.0208129882812,1638.6138712565105,1558.8419897460938,1204.1263317871094,1108.1959985351561,1663.223611443259,675.0,1800.0,True,True,True,True,True,True,True,False,False,130.01778031616863,ppv,274.65105808194505,False,False,False,False,,Industrial Manufacturing,Industrial Products,97.58726899383984,True,True
AIROLAM.NS,2026-09-16,88.54000091552734,86.60916646321614,88.06444401211209,88.05199966430663,87.54573333740234,90.25149997711182,86.61189583748114,78.0,123.30000305175781,False,False,False,False,True,False,False,True,False,-17.759615545425866,ppv,342.37773988682136,True,False,False,False,,Consumer Durables,Plywood Boards/ Laminates,44.19917864476386,False,False
AJANTPHARM.NS,2026-09-18,3563.60009765625,3522.0499877929688,3545.3375108506943,3502.794775390625,3152.839012044271,3042.434466552734,3532.837498787296,2283.1397649802702,3796.0,True,True,True,True,True,True,True,True,False,42.287538954445104,ppv,220.41655380630817,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,87.93634496919918,True,True
APLLTD.NS,2026-09-18,845.75,816.5250091552734,820.3236134847006,818.1733898925781,761.4724853515625,773.7514660644531,822.6832682953599,626.4825498908483,983.3745824758901,True,False,False,True,True,True,True,True,False,-12.245317487026563,ppv,508.31353919239905,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,50.82135523613963,False,False
ALGOQUANT.NS,2026-09-18,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,270.31242214573876,False,False,True,False,,Finance,Other Financial Services,,False,False
ABDL.NS,2026-09-17,653.0999755859375,619.2583363850912,615.7777811686198,618.1040014648438,561.5923712158203,556.7988661193848,629.0095341409657,378.81990505354565,711.7000122070312,True,True,False,True,True,True,True,True,False,19.361290893277385,ppv,145.1945459937246,False,False,False,False,,Beverages,Breweries & Distilleries,78.74743326488706,True,False
AMAL.NS,2026-09-17,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,,False,False
ARE&M.NS,2026-09-18,796.0,822.2416737874349,890.6347249348959,890.3269372558593,843.10591796875,854.6550796508789,816.8412832293312,666.0087356197063,1027.7670143394755,False,False,False,True,False,False,True,False,False,-21.88944490305914,ppv,85.91133501491515,False,False,False,False,,Auto Components,Auto Components & Equipments,39.06570841889117,False,False
AMEYA.NS,2026-09-16,129.35000610351562,114.61666742960612,110.88194508022733,110.8570002746582,107.05800018310546,104.61025005340576,118.18747848361882,86.0,132.8000030517578,True,True,False,True,True,True,True,True,False,27.87939115396043,ppv,502.283105022831,False,False,True,False,,Industrial Products,Other Industrial Products,82.95687885010267,True,False
AMNPLST.NS,2026-09-18,171.50999450683594,168.80026626586914,183.67569181654187,187.76230041503905,177.48190073649087,179.08567344665528,168.70274871392016,126.62184308118806,249.2555891812046,False,False,False,True,False,True,False,True,False,-24.021814778923968,ppv,84.89423600561781,False,False,False,False,,Chemicals & Petrochemicals,Commodity Chemicals,36.190965092402465,False,False
ANANDRATHI.NS,2026-09-18,2229.39990234375,2208.1333211263022,2166.505537245009,2140.867990722656,1866.3623917643229,1774.9085974121094,2206.885685696307,1351.1991966764108,2268.39990234375,True,True,True,True,True,True,True,True,False,46.36721161804975,ppv,346.6235956042696,False,False,False,False,,Capital Markets,Financial Products Distributor,88.55236139630391,True,True
AHCL.NS,2026-09-18,22.899999618530273,18.357500155766804,15.986944463517931,15.763000030517578,14.253479995727538,14.092579989433288,19.55149240434246,10.371000289916992,24.780000686645508,True,True,False,True,True,True,True,True,False,72.23225355917207,ppv,960.8725824262709,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,93.94250513347022,True,False
APARINDS.NS,2026-09-17,17801.0,17341.215657552082,16780.381808810766,15942.6509375,13440.307975260417,12178.423923339844,17322.567922113245,6777.469795325622,18401.11382486979,True,True,True,True,True,True,True,True,False,99.74060777028315,ppv,134.1346205275774,False,False,False,False,,Electrical Equipment,Other Electrical Equipment,96.30390143737166,True,True
ARROWGREEN.NS,2026-09-16,907.4500122070312,801.7473958333334,754.1610565185547,736.0841064453125,580.3590283203125,556.3306286621093,814.2831684133203,339.84701118518905,952.75,True,True,True,True,True,True,True,True,False,60.896158359713496,ppv,936.5814969285017,False,False,True,False,,Industrial Products,Packaging,91.6324435318275,True,True
AHLWEST.NS,2026-09-16,530.6500244140625,524.2666651407877,534.9416664971245,545.1449993896484,424.44073089599607,354.36804664611816,521.2541873606989,137.0,751.4000244140625,True,True,True,True,False,True,False,True,False,268.1235150069641,ppv,232.19814241486065,False,False,False,False,,Leisure Services,Hotels & Resorts,99.58932238193019,True,False
ASTAR.NS,2026-09-17,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,,False,False,True,False,,Consumer Durables,"Gems, Jewellery And Watches",,False,False
